nzz;ta;blick;20min;baz;az;bund;luz;südost;weltwoche;woz;watson
143694099006529_1511073132268612;177194474660_10155199693799661;62562538918_10155265580293919;29396596956_10154305635541957;111236060676_10154505170040677;118231518201711_1506582779366571;178913512122277_1596884450325169;170815382956921_1866587733379669;149845148361826_1448247231854938;38916537049_10154322707972050;193485802047_10155280506922048;536723559736207_1449222188486335
143694099006529_1511063968936195;177194474660_10155200450994661;62562538918_10155265090463919;29396596956_10154305615901957;111236060676_10154504975850677;118231518201711_1506585729366276;178913512122277_1596835263663421;170815382956921_1866264023412040;149845148361826_1449034928442835;38916537049_10154314583687050;193485802047_10155280079917048;536723559736207_1448798191862068
143694099006529_1511013775607881;177194474660_10155199778704661;62562538918_10155265371188919;29396596956_10154305624741957;111236060676_10154504961320677;118231518201711_1506529882705194;178913512122277_1596332527047028;170815382956921_1866268740078235;149845148361826_1449015301778131;38916537049_10154314590672050;193485802047_10155279412207048;536723559736207_1448785661863321
143694099006529_1510937128948879;177194474660_10155199737584661;62562538918_10155265308723919;29396596956_10154305620166957;111236060676_10154504881525677;118231518201711_1506521782706004;178913512122277_1595900427090238;170815382956921_1866275246744251;149845148361826_1448518058494522;38916537049_10154308092617050;193485802047_10155279358617048;536723559736207_1448774508531103
143694099006529_1510915862284339;177194474660_10155199814749661;62562538918_10155265243093919;29396596956_10154305314161957;111236060676_10154504731020677;118231518201711_1506545639370285;178913512122277_1595633897116891;170815382956921_1866228113415631;149845148361826_1448368055176189;38916537049_10154308085342050;193485802047_10155270657717048;536723559736207_1448717295203491
143694099006529_1510879812287944;177194474660_10155199877969661;62562538918_10155265051063919;29396596956_10154305303751957;111236060676_10154504639225677;118231518201711_1506555242702658;178913512122277_1595539437126337;170815382956921_1866159723422470;149845148361826_1448351325177862;38916537049_10154308071432050;193485802047_10155270466092048;536723559736207_1448477975227423
143694099006529_1510855538957038;177194474660_10155199684389661;62562538918_10155265020013919;29396596956_10154305299216957;111236060676_10154504473360677;118231518201711_1506518702706312;178913512122277_1595512953795652;170815382956921_1866077863430656;149845148361826_1448349841844677;38916537049_10154305524712050;193485802047_10155258970937048;536723559736207_1448412081900679
143694099006529_1510805985628660;177194474660_10155199802974661;62562538918_10155264954993919;29396596956_10154305088176957;111236060676_10154504379580677;118231518201711_1506332156058300;178913512122277_1595437093803238;170815382956921_1866015180103591;149845148361826_1448392868507041;38916537049_10154291003362050;193485802047_10155254490082048;536723559736207_1448314261910461
143694099006529_1510796375629621;177194474660_10155199769074661;62562538918_10155264908268919;29396596956_10154305080521957;111236060676_10154502988000677;118231518201711_1505666296124886;178913512122277_1595089643837983;170815382956921_1865968596774916;149845148361826_1448309991848662;38916537049_10154297424577050;193485802047_10155254453032048;536723559736207_1448252301916657
143694099006529_1510795112296414;177194474660_10155199611459661;62562538918_10155264830103919;29396596956_10154303587346957;111236060676_10154502978645677;118231518201711_1506353176056198;178913512122277_1594939607186320;170815382956921_1865856016786174;149845148361826_1448248901854771;38916537049_10154290995672050;193485802047_10155253852067048;536723559736207_1448012208607333
143694099006529_1510793275629931;177194474660_10155199798699661;62562538918_10155264744983919;29396596956_10154303575796957;111236060676_10154502911845677;118231518201711_1506343006057215;178913512122277_1594866980526916;170815382956921_1865540393484403;149845148361826_1448245425188452;38916537049_10154290991822050;193485802047_10155253848997048;536723559736207_1447466298661924
143694099006529_1510700078972584;177194474660_10155199623469661;62562538918_10155264694668919;29396596956_10154303601296957;111236060676_10154502630915677;118231518201711_1506314532726729;178913512122277_1594723803874567;170815382956921_1865341706837605;149845148361826_1448186631860998;38916537049_10154290981417050;193485802047_10155253847767048;536723559736207_1447460558662498
143694099006529_1510688222307103;177194474660_10155199534699661;62562538918_10155264653503919;29396596956_10154303597496957;111236060676_10154502579515677;118231518201711_1506238742734308;178913512122277_1594556580557956;170815382956921_1865299170175192;149845148361826_1448188761860785;38916537049_10154289630037050;193485802047_10155244022482048;536723559736207_1447439765331244
143694099006529_1510597755649483;177194474660_10155199525189661;62562538918_10155264580038919;29396596956_10154303466491957;111236060676_10154502299725677;118231518201711_1505679846123531;178913512122277_1594482923898655;170815382956921_1865165723521870;149845148361826_1448185798527748;38916537049_10154272317257050;193485802047_10155244016272048;536723559736207_1447426348665919
143694099006529_1510459748996617;177194474660_10155199491084661;62562538918_10155264555928919;29396596956_10154303120526957;111236060676_10154502229685677;118231518201711_1505846062773576;178913512122277_1593665623980385;170815382956921_1865113330193776;149845148361826_1448061668540161;38916537049_10154272312837050;193485802047_10155243433172048;536723559736207_1447434735331747
143694099006529_1510399605669298;177194474660_10155199481209661;62562538918_10155264476463919;29396596956_10154300827681957;111236060676_10154502210015677;118231518201711_1505676519457197;178913512122277_1593596953987252;170815382956921_1865028933535549;149845148361826_1448071881872473;38916537049_10154272308267050;193485802047_10155243431477048;536723559736207_1447272325347988
